"","Primkey","ID","SubID","Location","Side_A","Side_B","Incompability","Territory","Begin","End","Intensity","Type","Startdate","Startprecision","Startdate2","Startprecision2","COW_A","COW_B","COW_location","Continent","Lat","Lon","Radius","Version"
"100.2",136011993,1360,1,"Guatemala","Guatemala","URNG",2,"",1993,1995,2,3,"01-Oct-66",3,"01-Oct-66",3,"90","","90",5,16,-90,300,1.1
"101",137001949,1370,0,"Israel","Israel","Palestinian insurgents",1,"Palestine",1949,1954,1,3,"15-May-48",1,"01-Jan-49",11,"666","","666",2,32,35,150,1.1
"101.1",137001949,1370,0,"Israel","Israel","Palestinian insurgents",1,"Palestine",1949,1954,1,3,"15-May-48",1,"01-Jan-49",11,"666","","666",2,32,35,150,1.1
"101.2",137001949,1370,0,"Israel","Israel","Palestinian insurgents",1,"Palestine",1949,1954,1,3,"15-May-48",1,"01-Jan-49",11,"666","","666",2,32,35,150,1.1
"101.3",137001949,1370,0,"Israel","Israel","Palestinian insurgents",1,"Palestine",1949,1954,1,3,"15-May-48",1,"01-Jan-49",11,"666","","666",2,32,35,150,1.1
"101.4",137001949,1370,0,"Israel","Israel","Palestinian insurgents",1,"Palestine",1949,1954,1,3,"15-May-48",1,"01-Jan-49",11,"666","","666",2,32,35,150,1.1
"101.5",137001949,1370,0,"Israel","Israel","Palestinian insurgents",1,"Palestine",1949,1954,1,3,"15-May-48",1,"01-Jan-49",11,"666","","666",2,32,35,150,1.1
"102",137001955,1370,0,"Israel","Israel","Palestinian insurgents",1,"Palestine",1955,1964,2,3,"15-May-48",1,"01-Jan-49",11,"666","","666",2,32,35,150,1.1
"102.1",137001955,1370,0,"Israel","Israel","Palestinian insurgents",1,"Palestine",1955,1964,2,3,"15-May-48",1,"01-Jan-49",11,"666","","666",2,32,35,150,1.1
"102.2",137001955,1370,0,"Israel","Israel","Palestinian insurgents",1,"Palestine",1955,1964,2,3,"15-May-48",1,"01-Jan-49",11,"666","","666",2,32,35,150,1.1
"102.3",137001955,1370,0,"Israel","Israel","Palestinian insurgents",1,"Palestine",1955,1964,2,3,"15-May-48",1,"01-Jan-49",11,"666","","666",2,32,35,150,1.1
"102.4",137001955,1370,0,"Israel","Israel","Palestinian insurgents",1,"Palestine",1955,1964,2,3,"15-May-48",1,"01-Jan-49",11,"666","","666",2,32,35,150,1.1
"102.5",137001955,1370,0,"Israel","Israel","Palestinian insurgents",1,"Palestine",1955,1964,2,3,"15-May-48",1,"01-Jan-49",11,"666","","666",2,32,35,150,1.1
"102.6",137001955,1370,0,"Israel","Israel","Palestinian insurgents",1,"Palestine",1955,1964,2,3,"15-May-48",1,"01-Jan-49",11,"666","","666",2,32,35,150,1.1
"102.7",137001955,1370,0,"Israel","Israel","Palestinian insurgents",1,"Palestine",1955,1964,2,3,"15-May-48",1,"01-Jan-49",11,"666","","666",2,32,35,150,1.1
"102.8",137001955,1370,0,"Israel","Israel","Palestinian insurgents",1,"Palestine",1955,1964,2,3,"15-May-48",1,"01-Jan-49",11,"666","","666",2,32,35,150,1.1
"102.9",137001955,1370,0,"Israel","Israel","Palestinian insurgents",1,"Palestine",1955,1964,2,3,"15-May-48",1,"01-Jan-49",11,"666","","666",2,32,35,150,1.1
"103",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.1",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.2",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.3",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.4",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.5",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.6",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.7",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.8",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.9",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.10",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.11",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.12",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.13",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.14",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.15",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.16",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.17",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.18",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.19",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.20",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.21",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.22",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.23",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.24",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.25",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.26",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.27",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.28",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.29",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.30",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.31",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.32",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.33",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.34",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.35",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"103.36",137001965,1370,0,"Israel","Israel","PLO  groups",1,"Palestine",1965,2001,2,3,"03-Jan-65",2,"03-Jan-65",2,"666","","666",2,32,35,150,1.1
"104",138001949,1380,0,"North Korea - South Korea","North Korea","South Korea",1,"Korea",1949,1949,1,2,"30-Jun-51",1,"30-Jun-51",1,"731","732","731,732",3,38,127.5,100,1.1
"105",138001950,1380,0,"North Korea - South Korea","North Korea, Soviet Union, China","South Korea, Australia, Canada, France, Greece, New Zealand, Philippines, South Africa, Thailand, Turkey, United Kingdom, United States",1,"Korea",1950,1950,3,2,"25-Jun-50",1,"25-Jun-50",1,"731,365,710","732,900,20,220,350,920,840,560,800,640,200,2","731,732",3,38,127,400,1.1
"106",138001951,1380,0,"North Korea - South Korea","North Korea, Soviet Union, China","South Korea, Australia, Belgium, Canada, Colombia, Ethiopia, France, Greece, Luxembourg, Netherlands, New Zealand, Philippines, South Africa, Thailand, Turkey, United Kingdom, United States",1,"Korea",1951,1953,3,2,"25-Jun-50",1,"25-Jun-50",1,"731,365,710","732,900,211,20,100,530,220,350,212,210,920,840,560,800,640,200,2","731,732",3,38,127,150,1.1
"106.1",138001951,1380,0,"North Korea - South Korea","North Korea, Soviet Union, China","South Korea, Australia, Belgium, Canada, Colombia, Ethiopia, France, Greece, Luxembourg, Netherlands, New Zealand, Philippines, South Africa, Thailand, Turkey, United Kingdom, United States",1,"Korea",1951,1953,3,2,"25-Jun-50",1,"25-Jun-50",1,"731,365,710","732,900,211,20,100,530,220,350,212,210,920,840,560,800,640,200,2","731,732",3,38,127,150,1.1
"106.2",138001951,1380,0,"North Korea - South Korea","North Korea, Soviet Union, China","South Korea, Australia, Belgium, Canada, Colombia, Ethiopia, France, Greece, Luxembourg, Netherlands, New Zealand, Philippines, South Africa, Thailand, Turkey, United Kingdom, United States",1,"Korea",1951,1953,3,2,"25-Jun-50",1,"25-Jun-50",1,"731,365,710","732,900,211,20,100,530,220,350,212,210,920,840,560,800,640,200,2","731,732",3,38,127,150,1.1
"107",139001950,1390,0,"China","China","Tibet",1,"Tibet",1950,1950,1,3,"01-Oct-50",3,"01-Oct-50",3,"710","","710",3,31.25,97.2,50,1.1
"108",139001956,1390,0,"China","China","Tibet",1,"Tibet",1956,1956,3,3,"01-Oct-50",3,"01-Oct-50",3,"710","","710",3,31,93,400,1.1
"109",139001959,1390,0,"China","China","Tibet",1,"Tibet",1959,1959,3,3,"01-Oct-50",3,"01-Oct-50",3,"710","","710",3,31,89,900,1.1
"110",140001950,1400,0,"Indonesia","Indonesia","Republic of South Moluccas",1,"South Moluccas",1950,1950,3,3,"05-Aug-50",1,"05-Aug-50",1,"850","","850",3,-3,129,200,1.1
"111",141001950,1410,0,"Puerto Rico","USA","Puerto Rican Nationalist Party",1,"Puerto Rico",1950,1950,1,1,"30-Oct-50",1,"30-Oct-50",1,"2","","2",5,18.5,-66.5,100,1.1
"112",142001951,1420,0,"Egypt - United Kingdom","Egypt","United Kingdom",1,"Suez",1951,1952,1,2,"18-Oct-51",1,"18-Oct-51",1,"651","200","651,200",2,30.5,32.25,100,1.1
"112.1",142001951,1420,0,"Egypt - United Kingdom","Egypt","United Kingdom",1,"Suez",1951,1952,1,2,"18-Oct-51",1,"18-Oct-51",1,"651","200","651,200",2,30.5,32.25,100,1.1
"113",143001951,1430,0,"Thailand","Thailand","Military faction (Navy)",2,"",1951,1951,1,3,"30-Jun-51",1,"30-Jun-51",1,"800","","800",3,13.6,100.52,50,1.1
"114",144001952,1440,0,"Kenya","United Kingdom","Mau Mau",1,"Kenya",1952,1952,1,1,"22-Oct-52",2,"22-Oct-52",2,"200","","501",4,-1,36.5,200,1.1
"115",144001953,1440,0,"Kenya","United Kingdom","Mau Mau",1,"Kenya",1953,1956,3,1,"22-Oct-52",2,"22-Oct-52",2,"200","","501",4,-1,36.5,200,1.1
"115.1",144001953,1440,0,"Kenya","United Kingdom","Mau Mau",1,"Kenya",1953,1956,3,1,"22-Oct-52",2,"22-Oct-52",2,"200","","501",4,-1,36.5,200,1.1
"115.2",144001953,1440,0,"Kenya","United Kingdom","Mau Mau",1,"Kenya",1953,1956,3,1,"22-Oct-52",2,"22-Oct-52",2,"200","","501",4,-1,36.5,200,1.1
"115.3",144001953,1440,0,"Kenya","United Kingdom","Mau Mau",1,"Kenya",1953,1956,3,1,"22-Oct-52",2,"22-Oct-52",2,"200","","501",4,-1,36.5,200,1.1
"116",145001953,1450,0,"Cuba","Cuba","Military faction",2,"",1953,1953,1,3,"26-Jul-53",1,"26-Jul-53",1,"40","","40",5,20.5,-76,150,1.1
"117",145001957,1450,0,"Cuba","Cuba","Movimiento 26 De Julio: 26th of July Movement",2,"",1957,1957,1,3,"02-Dec-56",1,"01-Jan-57",11,"40","","40",5,22,-79,500,1.1
"118",145001958,1450,0,"Cuba","Cuba","Movimiento 26 De Julio: 26th of July Movement",2,"",1958,1958,3,3,"02-Dec-56",1,"01-Jan-57",11,"40","","40",5,22,-79,500,1.1
"119",145001961,1450,1,"Cuba","Cuba","National Revolutionary Council, USA",2,"",1961,1961,1,4,"17-Apr-61",2,"17-Apr-61",2,"40","","40",5,22.5,-82,100,1.1
"120",146001953,1460,0,"Indonesia","Indonesia","Darul Islam Movement",2,"",1953,1953,3,3,"01-Jan-53",5,"01-Jan-53",5,"850","","850",3,0,110,1800,1.1
"121",146001958,1460,0,"Indonesia","Indonesia","PRRI, Permesta movement, Darul Islam Movement",2,"",1958,1961,2,3,"01-Jan-53",5,"01-Jan-53",5,"850","","850",3,0,110,1800,1.1
"121.1",146001958,1460,0,"Indonesia","Indonesia","PRRI, Permesta movement, Darul Islam Movement",2,"",1958,1961,2,3,"01-Jan-53",5,"01-Jan-53",5,"850","","850",3,0,110,1800,1.1
"121.2",146001958,1460,0,"Indonesia","Indonesia","PRRI, Permesta movement, Darul Islam Movement",2,"",1958,1961,2,3,"01-Jan-53",5,"01-Jan-53",5,"850","","850",3,0,110,1800,1.1
"121.3",146001958,1460,0,"Indonesia","Indonesia","PRRI, Permesta movement, Darul Islam Movement",2,"",1958,1961,2,3,"01-Jan-53",5,"01-Jan-53",5,"850","","850",3,0,110,1800,1.1
"122",147001953,1470,0,"Morocco","France","Istiqlal",1,"Morocco",1953,1956,1,1,"07-Nov-53",1,"07-Nov-53",1,"220","","600",4,32,-7,600,1.1
"122.1",147001953,1470,0,"Morocco","France","Istiqlal",1,"Morocco",1953,1956,1,1,"07-Nov-53",1,"07-Nov-53",1,"220","","600",4,32,-7,600,1.1
"122.2",147001953,1470,0,"Morocco","France","Istiqlal",1,"Morocco",1953,1956,1,1,"07-Nov-53",1,"07-Nov-53",1,"220","","600",4,32,-7,600,1.1
"122.3",147001953,1470,0,"Morocco","France","Istiqlal",1,"Morocco",1953,1956,1,1,"07-Nov-53",1,"07-Nov-53",1,"220","","600",4,32,-7,600,1.1
"123",148001953,1480,0,"Tunisia","France","National Liberation Army",1,"Tunisia",1953,1956,1,1,"01-Apr-53",3,"01-Apr-53",3,"220","","616",4,33,9,300,1.1
"123.1",148001953,1480,0,"Tunisia","France","National Liberation Army",1,"Tunisia",1953,1956,1,1,"01-Apr-53",3,"01-Apr-53",3,"220","","616",4,33,9,300,1.1
"123.2",148001953,1480,0,"Tunisia","France","National Liberation Army",1,"Tunisia",1953,1956,1,1,"01-Apr-53",3,"01-Apr-53",3,"220","","616",4,33,9,300,1.1
"123.3",148001953,1480,0,"Tunisia","France","National Liberation Army",1,"Tunisia",1953,1956,1,1,"01-Apr-53",3,"01-Apr-53",3,"220","","616",4,33,9,300,1.1
"124",149001954,1490,0,"Algeria","France","FLN, MNA",1,"Algeria",1954,1954,1,1,"01-Nov-54",2,"01-Nov-54",2,"220","","615",4,35.5,3,400,1.1
"125",149001955,1490,0,"Algeria","France","FLN, MNA",1,"Algeria",1955,1961,3,1,"01-Nov-54",2,"01-Nov-54",2,"220","","615",4,35.5,3,400,1.1
"125.1",149001955,1490,0,"Algeria","France","FLN, MNA",1,"Algeria",1955,1961,3,1,"01-Nov-54",2,"01-Nov-54",2,"220","","615",4,35.5,3,400,1.1
"125.2",149001955,1490,0,"Algeria","France","FLN, MNA",1,"Algeria",1955,1961,3,1,"01-Nov-54",2,"01-Nov-54",2,"220","","615",4,35.5,3,400,1.1
"125.3",149001955,1490,0,"Algeria","France","FLN, MNA",1,"Algeria",1955,1961,3,1,"01-Nov-54",2,"01-Nov-54",2,"220","","615",4,35.5,3,400,1.1
"125.4",149001955,1490,0,"Algeria","France","FLN, MNA",1,"Algeria",1955,1961,3,1,"01-Nov-54",2,"01-Nov-54",2,"220","","615",4,35.5,3,400,1.1
"125.5",149001955,1490,0,"Algeria","France","FLN, MNA",1,"Algeria",1955,1961,3,1,"01-Nov-54",2,"01-Nov-54",2,"220","","615",4,35.5,3,400,1.1
"125.6",149001955,1490,0,"Algeria","France","FLN, MNA",1,"Algeria",1955,1961,3,1,"01-Nov-54",2,"01-Nov-54",2,"220","","615",4,35.5,3,400,1.1
"126",149001962,1490,0,"Algeria","France","FLN, MNA",1,"Algeria",1962,1962,2,1,"01-Nov-54",2,"01-Nov-54",2,"220","","615",4,35.5,3,400,1.1
"127",150001955,1500,0,"Argentina","Argentina","Military faction",2,"",1955,1955,1,3,"16-Jan-55",1,"16-Jan-55",1,"160","","160",5,-34.6,-58.45,50,1.1
"128",150001963,1500,0,"Argentina","Argentina","Military faction",2,"",1963,1963,1,3,"02-Apr-63",1,"02-Apr-63",1,"160","","160",5,-34.5,-58.5,100,1.1
"129",150001973,1500,0,"Argentina","Argentina","ERP , Montoneros",2,"",1973,1974,1,3,"01-Jun-70",1,"01-Jan-73",11,"160","","160",5,-31,-62,700,1.1
"129.1",150001973,1500,0,"Argentina","Argentina","ERP , Montoneros",2,"",1973,1974,1,3,"01-Jun-70",1,"01-Jan-73",11,"160","","160",5,-31,-62,700,1.1
"130",150001975,1500,0,"Argentina","Argentina","ERP , Montoneros",2,"",1975,1975,3,3,"01-Jun-70",1,"01-Jan-73",11,"160","","160",5,-31,-62,700,1.1
"131",150001976,1500,0,"Argentina","Argentina","ERP , Montoneros",2,"",1976,1977,2,3,"01-Jun-70",1,"01-Jan-73",11,"160","","160",5,-31,-62,700,1.1
"131.1",150001976,1500,0,"Argentina","Argentina","ERP , Montoneros",2,"",1976,1977,2,3,"01-Jun-70",1,"01-Jan-73",11,"160","","160",5,-31,-62,700,1.1
"132",151001955,1510,0,"Cyprus","United Kingdom","EOKA",1,"Cyprus",1955,1959,1,1,"02-Jun-55",1,"02-Jun-55",1,"200","","352",1,35,33.5,150,1.1
"132.1",151001955,1510,0,"Cyprus","United Kingdom","EOKA",1,"Cyprus",1955,1959,1,1,"02-Jun-55",1,"02-Jun-55",1,"200","","352",1,35,33.5,150,1.1
"132.2",151001955,1510,0,"Cyprus","United Kingdom","EOKA",1,"Cyprus",1955,1959,1,1,"02-Jun-55",1,"02-Jun-55",1,"200","","352",1,35,33.5,150,1.1
"132.3",151001955,1510,0,"Cyprus","United Kingdom","EOKA",1,"Cyprus",1955,1959,1,1,"02-Jun-55",1,"02-Jun-55",1,"200","","352",1,35,33.5,150,1.1
"132.4",151001955,1510,0,"Cyprus","United Kingdom","EOKA",1,"Cyprus",1955,1959,1,1,"02-Jun-55",1,"02-Jun-55",1,"200","","352",1,35,33.5,150,1.1
"133",152001955,1520,0,"South Vietnam","South Vietnam","FNL",1,"South Vietnam",1955,1961,3,3,"01-Apr-55",3,"01-Apr-55",3,"817","","817",3,11,108,500,1.1
"133.1",152001955,1520,0,"South Vietnam","South Vietnam","FNL",1,"South Vietnam",1955,1961,3,3,"01-Apr-55",3,"01-Apr-55",3,"817","","817",3,11,108,500,1.1
"133.2",152001955,1520,0,"South Vietnam","South Vietnam","FNL",1,"South Vietnam",1955,1961,3,3,"01-Apr-55",3,"01-Apr-55",3,"817","","817",3,11,108,500,1.1
"133.3",152001955,1520,0,"South Vietnam","South Vietnam","FNL",1,"South Vietnam",1955,1961,3,3,"01-Apr-55",3,"01-Apr-55",3,"817","","817",3,11,108,500,1.1
"133.4",152001955,1520,0,"South Vietnam","South Vietnam","FNL",1,"South Vietnam",1955,1961,3,3,"01-Apr-55",3,"01-Apr-55",3,"817","","817",3,11,108,500,1.1
"133.5",152001955,1520,0,"South Vietnam","South Vietnam","FNL",1,"South Vietnam",1955,1961,3,3,"01-Apr-55",3,"01-Apr-55",3,"817","","817",3,11,108,500,1.1
"133.6",152001955,1520,0,"South Vietnam","South Vietnam","FNL",1,"South Vietnam",1955,1961,3,3,"01-Apr-55",3,"01-Apr-55",3,"817","","817",3,11,108,500,1.1
"134",152001962,1520,0,"South Vietnam","South Vietnam, USA","FNL",1,"South Vietnam",1962,1964,3,4,"01-Apr-55",3,"01-Apr-55",3,"817,2","","817",3,11,108,500,1.1
"134.1",152001962,1520,0,"South Vietnam","South Vietnam, USA","FNL",1,"South Vietnam",1962,1964,3,4,"01-Apr-55",3,"01-Apr-55",3,"817,2","","817",3,11,108,500,1.1
"134.2",152001962,1520,0,"South Vietnam","South Vietnam, USA","FNL",1,"South Vietnam",1962,1964,3,4,"01-Apr-55",3,"01-Apr-55",3,"817,2","","817",3,11,108,500,1.1
"135",153001956,1530,0,"Hungary - Soviet Union","Hungary","Soviet Union",2,"",1956,1956,3,2,"23-Oct-56",1,"23-Oct-56",1,"310","365","310,365",1,47.5,19.08,50,1.1
"136",154001956,1540,0,"India","India","NNC, NSCN",1,"Nagaland",1956,1959,1,3,"20-Jul-55",2,"01-Jan-56",11,"750","","750",3,25.5,94,150,1.1
"136.1",154001956,1540,0,"India","India","NNC, NSCN",1,"Nagaland",1956,1959,1,3,"20-Jul-55",2,"01-Jan-56",11,"750","","750",3,25.5,94,150,1.1
"136.2",154001956,1540,0,"India","India","NNC, NSCN",1,"Nagaland",1956,1959,1,3,"20-Jul-55",2,"01-Jan-56",11,"750","","750",3,25.5,94,150,1.1
"136.3",154001956,1540,0,"India","India","NNC, NSCN",1,"Nagaland",1956,1959,1,3,"20-Jul-55",2,"01-Jan-56",11,"750","","750",3,25.5,94,150,1.1
"137",154001961,1540,0,"India","India","NNC, NSCN",1,"Nagaland",1961,1968,1,3,"20-Jul-55",2,"01-Jan-56",11,"750","","750",3,25.5,94,150,1.1
"137.1",154001961,1540,0,"India","India","NNC, NSCN",1,"Nagaland",1961,1968,1,3,"20-Jul-55",2,"01-Jan-56",11,"750","","750",3,25.5,94,150,1.1
"137.2",154001961,1540,0,"India","India","NNC, NSCN",1,"Nagaland",1961,1968,1,3,"20-Jul-55",2,"01-Jan-56",11,"750","","750",3,25.5,94,150,1.1
"137.3",154001961,1540,0,"India","India","NNC, NSCN",1,"Nagaland",1961,1968,1,3,"20-Jul-55",2,"01-Jan-56",11,"750","","750",3,25.5,94,150,1.1
"137.4",154001961,1540,0,"India","India","NNC, NSCN",1,"Nagaland",1961,1968,1,3,"20-Jul-55",2,"01-Jan-56",11,"750","","750",3,25.5,94,150,1.1
"137.5",154001961,1540,0,"India","India","NNC, NSCN",1,"Nagaland",1961,1968,1,3,"20-Jul-55",2,"01-Jan-56",11,"750","","750",3,25.5,94,150,1.1
"137.6",154001961,1540,0,"India","India","NNC, NSCN",1,"Nagaland",1961,1968,1,3,"20-Jul-55",2,"01-Jan-56",11,"750","","750",3,25.5,94,150,1.1
"137.7",154001961,1540,0,"India","India","NNC, NSCN",1,"Nagaland",1961,1968,1,3,"20-Jul-55",2,"01-Jan-56",11,"750","","750",3,25.5,94,150,1.1
"138",154011989,1540,1,"India","India","NNC, NSCN",1,"Nagaland",1989,1997,1,3,"01-Jan-89",6,"01-Jan-89",6,"750","","750",3,25.5,94,150,1.1
"138.1",154011989,1540,1,"India","India","NNC, NSCN",1,"Nagaland",1989,1997,1,3,"01-Jan-89",6,"01-Jan-89",6,"750","","750",3,25.5,94,150,1.1
"138.2",154011989,1540,1,"India","India","NNC, NSCN",1,"Nagaland",1989,1997,1,3,"01-Jan-89",6,"01-Jan-89",6,"750","","750",3,25.5,94,150,1.1
"138.3",154011989,1540,1,"India","India","NNC, NSCN",1,"Nagaland",1989,1997,1,3,"01-Jan-89",6,"01-Jan-89",6,"750","","750",3,25.5,94,150,1.1
"138.4",154011989,1540,1,"India","India","NNC, NSCN",1,"Nagaland",1989,1997,1,3,"01-Jan-89",6,"01-Jan-89",6,"750","","750",3,25.5,94,150,1.1
"138.5",154011989,1540,1,"India","India","NNC, NSCN",1,"Nagaland",1989,1997,1,3,"01-Jan-89",6,"01-Jan-89",6,"750","","750",3,25.5,94,150,1.1
"138.6",154011989,1540,1,"India","India","NNC, NSCN",1,"Nagaland",1989,1997,1,3,"01-Jan-89",6,"01-Jan-89",6,"750","","750",3,25.5,94,150,1.1
"138.7",154011989,1540,1,"India","India","NNC, NSCN",1,"Nagaland",1989,1997,1,3,"01-Jan-89",6,"01-Jan-89",6,"750","","750",3,25.5,94,150,1.1
"138.8",154011989,1540,1,"India","India","NNC, NSCN",1,"Nagaland",1989,1997,1,3,"01-Jan-89",6,"01-Jan-89",6,"750","","750",3,25.5,94,150,1.1
"139",155001956,1550,0,"Israel, United Kingdom, France - Egypt","Israel, United Kingdom, France","Egypt",1,"Suez",1956,1956,3,2,"31-Oct-56",1,"31-Oct-56",1,"666,200,220","651","666,200,220,651",2,30.5,32.25,100,1.1
"140",156001957,1560,0,"Burma","Burma","KNPP",1,"Kaya",1957,1957,1,3,"01-Jan-57",6,"01-Jan-57",6,"775","","775",3,19.5,97,100,1.1
"141",156011992,1560,1,"Burma","Burma","KNPP",1,"Kaya",1992,1992,1,3,"01-Jan-92",6,"01-Jan-92",6,"775","","775",3,19.5,97,100,1.1
"142",156011996,1560,1,"Burma","Burma","KNPP",1,"Kaya",1996,1996,1,3,"01-Jan-92",6,"01-Jan-92",6,"775","","775",3,19.5,97,100,1.1
"143",157001957,1570,0,"Cameroon","France","UPC",1,"Cameroon",1957,1960,1,1,"01-Sep-57",3,"01-Sep-57",3,"220","","471",4,4,11,150,1.1
"143.1",157001957,1570,0,"Cameroon","France","UPC",1,"Cameroon",1957,1960,1,1,"01-Sep-57",3,"01-Sep-57",3,"220","","471",4,4,11,150,1.1
